Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
1,12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0
2,06-12-2019,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0
3,03-12-2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,Mumbai Angels Ravikanth Reddy,Seed,50000000.0
4,13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,SAIF Partners Spring Canter Investment Ltd.,Series F,20000000.0
5,17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Paytm NPTK Sabre Partners and Neoplux,Series C,12000000.0
6,16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000.0
7,16-12-2019,InCred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,5900000.0
8,14-12-2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000.0
9,11-12-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0
10,20-12-2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000.0
11,13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,Sequoia CapitalG Accel,Series H,150000000.0
12,14-11-2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,Sauce.vc Rainforest Ventures,Series B,486000.0
13,13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Prime Venture Partners LetsVenture PS1 Venture and GlobalLogic co-founder Rajul Garg,Seed,1500000.0
15,18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,DG Daiwa Ventures DG Incubation,Series B,12000000.0
16,15-11-2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.0
17,20-11-2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411265.0
18,12-11-2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000.0
19,20-11-2019,Clumio,SaaS,Recovery software,San Jose,Altimeter Capital Sutter Hill Ventures,Series C,135000000.0
20,11-11-2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0
